,blue-dwarf.qmd,artemis-did-not-leave.qmd,red-giant.qmd,planet-orbiting-dead-star-WD-1856-b.qmd,moonless-earth-day-year.qmd,black-hole-older-than-galaxy.qmd,why-sun-moon-same-size.qmd,ngrst-nasa.qmd,kuiper-oort.qmd,ganymede.qmd,aldebaran.qmd,nova-star.qmd,ceres-asteroid-or-dwarf-planet.qmd,gravity-hill.qmd,mercury-diamond.qmd,why-no-aliens-visited-us.qmd,M-82-65.qmd,asteroid-belt-not-wall.qmd,meghnad-saha.qmd,earth-inside.qmd,how-big-is-sun.qmd,pink-planet.qmd,variable-star.qmd,star-vs-universe.qmd,saturn-moons.qmd,apod-abell-2744.qmd,parsec.qmd,hot-jupiter.qmd,how-is-star-distance-measured.qmd,comet-types.qmd
aldebaran.qmd,0.294653821641856,0.304504899965182,0.3820122343610174,0.30898315857062414,0.26401398538301,0.26335569340219556,0.3777399073798016,0.1831962361780238,0.2328409360764468,0.1763761581592829,0.9999999999999999,0.4088975078201741,0.2486943154326551,0.2808547589058257,0.14089341019165025,0.40504637521849446,0.16286422716532467,0.20841553889105996,0.15328745778171557,0.020464253555916422,0.352213099036589,0.2013433627578601,0.5150968042353247,0.3677901227322788,0.13270657421455745,0.07481652281887248,0.2567873687589268,0.24197802974707522,0.3203791396042635,0.21764507345725023
nova-star.qmd,0.3805945194992212,0.22768659562246005,0.486925651119567,0.41126384680689815,0.2439716920078251,0.29058500320604097,0.24849424940651998,0.21560697121544473,0.22023112442309722,0.13982266435399723,0.4088975078201741,0.9999999999999999,0.1706987358505749,0.280976431995115,0.10144875681627004,0.3173850880323662,0.2068288821456394,0.16767433728550846,0.1773223880235375,0.039682016220540385,0.3352782014081168,0.1655390959821786,0.3687805569565492,0.45115090659028606,0.10249324536590888,0.12039873353057384,0.1870921775006748,0.23752991136650878,0.3243821361775182,0.1916187085355991
ceres-asteroid-or-dwarf-planet.qmd,0.1967629892543145,0.17545991492170593,0.19975780479046906,0.31312096854576615,0.22958103756108197,0.15831995252089934,0.2342053537616228,0.19188069532914653,0.29814038308943996,0.4266096207730006,0.2486943154326551,0.1706987358505749,1.0000000000000002,0.15395662511821892,0.3057556858629459,0.2350005178254352,0.12787988757196123,0.2783563555994185,0.12787904747009093,0.007354042080808969,0.22362768315778062,0.3884223488909024,0.15314683567402454,0.1880469867564933,0.4086435443427857,0.02396046489944453,0.15766093179894095,0.2506062379181005,0.18502138583204825,0.250868027163851
gravity-hill.qmd,0.2091381971455934,0.22653763308086952,0.2080702275754587,0.1955256263828905,0.19093254576200003,0.2358343593143397,0.16689656265600958,0.16414527318922859,0.15731305045280516,0.10461508684481685,0.2808547589058257,0.280976431995115,0.15395662511821892,1.0000000000000002,0.09412844899641104,0.2589404285881832,0.1320872354980043,0.14967944898464106,0.1472519957021154,0.05869064188938193,0.18305133256076206,0.16671401244948642,0.2068616310436443,0.24287686522399737,0.060159562693565136,0.05040928172600789,0.14744274697415904,0.145131194918563,0.19624987912710765,0.14620762107998225
mercury-diamond.qmd,0.0959852869365958,0.09311944063173659,0.1588985008706418,0.2294272470503011,0.1484557071196908,0.11246263911735573,0.12098407159537164,0.11980110246613662,0.14293367863935796,0.3815369516479212,0.14089341019165025,0.10144875681627004,0.3057556858629459,0.09412844899641104,0.9999999999999998,0.12340838770913527,0.08211131467524005,0.1288430505775554,0.13380880772077774,0.014207938975395205,0.12538137397314342,0.24141438432346163,0.12057312269550713,0.10612021205408344,0.3734828076269604,0.058256831373442106,0.06897522567074928,0.10269951284096643,0.12017073617039349,0.1140125866063562
why-no-aliens-visited-us.qmd,0.2703533203158325,0.30278073969238406,0.24160724026264865,0.32928885909312583,0.35028103665671567,0.31258397293847684,0.20291993536590097,0.1778031002415106,0.24132220004338253,0.21200292663212994,0.40504637521849446,0.3173850880323662,0.2350005178254352,0.2589404285881832,0.12340838770913527,1.0,0.21808334207192867,0.2728299786332586,0.1934463324377238,0.020451525515556616,0.20047019742604308,0.24561168453504978,0.17786600618215082,0.4046638816424301,0.12540544500619957,0.05102907978697483,0.13168470511423316,0.20267128611545482,0.23417881564520174,0.22236860495710503
M-82-65.qmd,0.15212594872307883,0.16158153857854174,0.1328523666244799,0.19104047576105004,0.2425437624904614,0.2231265233917268,0.12338832522997223,0.26051060108334984,0.15578097453012546,0.10350765063728667,0.16286422716532467,0.2068288821456394,0.12787988757196123,0.1320872354980043,0.08211131467524005,0.21808334207192867,1.0,0.1524271744206915,0.12817128137508427,0.03413676670224735,0.1575528265443767,0.21649144503194623,0.11081027628224333,0.25289934235663314,0.05243933372609332,0.04126624580966773,0.0943845675017673,0.10929087097957448,0.16841748129785045,0.08205835550535324
asteroid-belt-not-wall.qmd,0.15871679870089384,0.15849149497347587,0.16819606868880196,0.19814618970079198,0.2124338273790904,0.19676070883210073,0.11420457662357673,0.15348928695707847,0.2464716955204893,0.2231313603828716,0.20841553889105996,0.16767433728550846,0.2783563555994185,0.14967944898464106,0.1288430505775554,0.2728299786332586,0.1524271744206915,1.0000000000000002,0.13611640734264857,0.02950250349516114,0.18079499622287212,0.19222176409589364,0.10168477907032586,0.20610254828008454,0.16990799621367764,0.03015562585764378,0.14266531061186685,0.1471929714611354,0.13508927473516438,0.16640884360715405
meghnad-saha.qmd,0.1480598847286907,0.14587002753072462,0.17016375451982882,0.16369705604956017,0.19047382391318576,0.16727886533205238,0.11840855038417429,0.18549984602948413,0.13977142320757016,0.11852703763849076,0.15328745778171557,0.1773223880235375,0.12787904747009093,0.1472519957021154,0.13380880772077774,0.1934463324377238,0.12817128137508427,0.13611640734264857,0.9999999999999997,0.004291196028423685,0.14697855193444828,0.14979627198419,0.14513974991319903,0.25928304021734067,0.09646885282548846,0.032564985561821275,0.11247471701994707,0.10212104008149953,0.21718654548530264,0.12297432846804227
earth-inside.qmd,0.03669214147385156,0.038896566745505456,0.02533182840676399,0.005412227624437936,0.005193375415996018,0.006572706020433751,0.041223876633002865,0.05727187897905495,0.021949477759678024,0.012365247643201783,0.020464253555916422,0.039682016220540385,0.007354042080808969,0.05869064188938193,0.014207938975395205,0.020451525515556616,0.03413676670224735,0.02950250349516114,0.004291196028423685,1.0,0.07108741897138625,0.013146895814424766,0.0038968829751510553,0.00575876362433494,0.01173715520488509,0.02112775172184452,0.07909412006095455,0.009584454384798668,0.06376977828699919,0.009995904815849724
